# Bronlijst uit "Complete Gids Natuur- en Wandelgebieden in Nederland"
# formaat: groep|nr|naam|paginanummer
19|1|Terschelling|384
19|2|Landerumerkooi|264
19|3|De Waddenzee, Staatsnatuurreservaat|410
20|1|Terschelling|384
20|2|Ameland|107
20|3|'t Oerd|311
20|4|De Waddenzee, Staatsnatuurreservaat|410
20|5|Bildtpollen|128
20|6|Noard Fryslân Bûtendyks|305
21|1|Schiermonnikoog, Nationaal Park|356
21|2|Engelsmanplaat|175
21|3|De Waddenzee, Staatsnatuurreservaat|410
21|4|Peazemerlannen|329
21|5|Bantpolder|117
21|6|Lauwersmeer, Staatsnatuurmonument|268
21|7|Bochtjesplaat|131
21|8|De Kolken|249
21|9|Dongeradeel|161
21|10|De Ommelanderzeedijk|314
21|11|Eendenkooi Nieuw Onrust|169
21|12|Feddema's Plasje|178
21|13|Voormalige boerenerven|403
21|14|Verhildersum|399
21|15|Leenstertil|270
21|16|Leens landschapselementen|270
21|17|Wierdekerkhof Vliedorp|424
22|1|Rottumerplaat|349
22|2|Rottumeroog|349
22|3|De Waddenzee, Staatsnatuurreservaat|410
22|4|De Ommelanderzeedijk|314
22|5|Kwelders Noord-Oost Groningen|260
22|6|Kwelders Groninger Noordkust|260
22|7|Uithuizerwad|391
22|8|Botanische tuin Pieterburen|140
22|9|Kloosterburen-Eenrum landschapselementen|248
22|10|Middendijk|291
22|11|Restant van Zeedijk|343
22|12|Verhildersum en Borgweer|399
22|13|Wehe-Eenrum landschapselementen|417
22|14|Arboretum Eenrum|113
22|15|Eenrumerbos|171
22|16|Maarhuizen|281
22|17|Baflo-Warffum landschapselementen|115
22|18|Usquert|391
22|19|Helwerder Wierden|213
22|20|Uithuizen-Roodeschool landschapselementen|391
22|21|Oosternieland en Oudeschip|318
22|22|Middelstum-Kantens|291
23|1|De Waddenzee, Staatsnatuurreservaat|410
23|2|De Ommelanderzeedijk|314
23|3|Biessum-Uitwierde|128
24|1|Vlieland|402
24|2|Duinen Texel|164
24|3|Polder Wassenaar en 't Visje|334
24|4|Krimbos|257
24|5|Roggesloot|347
24|6|Zeeburg|435
24|7|Lage Land van Texel|262
24|8|De Waddenzee, Staatsnatuurreservaat|410
24|9|De Schorren|360
25|1|De Waddenzee, Staatsnatuurreservaat|410
25|2|Griend|196
25|3|De Bjirmen|128
25|4|Westerhitzumerbos|420
